COUNTRY,EDI_SCORE,SCORE
NO,9.81,1
NZ,9.61,0.979057591623037
IS,9.52,0.969633507853403
SE,9.39,0.956020942408377
FI,9.3,0.946596858638743
DK,9.28,0.944502617801047
IE,9.19,0.935078534031414
CH,9.14,0.929842931937173
NL,9,0.915183246073298
TW,8.92,0.906806282722513
LU,8.81,0.895287958115183
DE,8.8,0.894240837696335
CA,8.69,0.882722513089005
UY,8.66,0.879581151832461
AU,8.66,0.879581151832461
JP,8.4,0.852356020942408
CR,8.29,0.840837696335078
GB,8.28,0.83979057591623
AT,8.28,0.83979057591623
GR,8.14,0.825130890052356
MU,8.14,0.825130890052356
KR,8.09,0.819895287958115
FR,8.07,0.817801047120419
ES,8.07,0.817801047120419
CL,7.98,0.808376963350785
CZ,7.97,0.807329842931937
EE,7.96,0.806282722513089
MT,7.93,0.803141361256545
US,7.85,0.794764397905759
IL,7.8,0.789528795811518
PT,7.75,0.784293193717278
SI,7.75,0.784293193717278
BW,7.73,0.782198952879581
IT,7.69,0.778010471204189
CV,7.65,0.773821989528796
BE,7.64,0.772774869109948
CY,7.38,0.745549738219895
LV,7.38,0.745549738219895
LT,7.31,0.738219895287958
MY,7.29,0.736125654450262
IN,7.18,0.724607329842932
PL,7.18,0.724607329842932
TT,7.16,0.722513089005236
JM,7.06,0.712041884816754
TL,7.06,0.712041884816754
SK,7.05,0.710994764397906
ZA,7.05,0.710994764397906
PA,6.91,0.696335078534031
SR,6.88,0.693193717277487
HU,6.72,0.676439790575916
BR,6.68,0.672251308900524
ME,6.67,0.671204188481675
PH,6.66,0.670157068062827
AR,6.62,0.665968586387435
CO,6.55,0.658638743455497
ID,6.53,0.656544502617801
NA,6.52,0.655497382198953
HR,6.5,0.653403141361257
MN,6.48,0.65130890052356
RO,6.45,0.648167539267016
DO,6.44,0.647120418848168
BG,6.41,0.643979057591623
TH,6.35,0.637696335078534
RS,6.33,0.635602094240838
GH,6.3,0.632460732984293
AL,6.28,0.630366492146597
GY,6.26,0.628272251308901
MD,6.23,0.625130890052356
SG,6.18,0.619895287958115
LK,6.17,0.618848167539267
LS,6.06,0.607329842931937
MK,6.03,0.604188481675393
PG,6.03,0.604188481675393
PY,6,0.601047120418848
BD,5.87,0.587434554973822
MW,5.85,0.585340314136126
PE,5.81,0.581151832460733
ZM,5.8,0.580104712041885
LR,5.57,0.556020942408377
FJ,5.55,0.553926701570681
BT,5.54,0.552879581151832
TN,5.51,0.549738219895288
SN,5.48,0.546596858638744
AM,5.42,0.540314136125654
EC,5.41,0.539267015706806
TZ,5.35,0.532984293193717
MG,5.26,0.523560209424084
HK,5.24,0.521465968586387
GE,5.2,0.517277486910995
MX,5.14,0.510994764397906
UA,5.06,0.50261780104712
KE,5.05,0.501570680628272
MA,5.02,0.498429319371728
BA,5,0.496335078534031
HN,4.98,0.494240837696335
SV,4.71,0.465968586387435
BJ,4.68,0.46282722513089
NP,4.6,0.454450261780105
UG,4.49,0.442931937172775
GM,4.47,0.440837696335079
GT,4.47,0.440837696335079
TR,4.33,0.426178010471204
SL,4.32,0.425130890052356
NG,4.23,0.415706806282723
CI,4.22,0.414659685863874
BO,4.2,0.412565445026178
AO,4.18,0.410471204188482
MR,4.14,0.406282722513089
KG,3.7,0.36020942408377
DZ,3.66,0.356020942408377
QA,3.65,0.354973821989529
LB,3.56,0.345549738219895
MZ,3.51,0.340314136125654
KW,3.5,0.339267015706806
PS,3.47,0.336125654450262
ET,3.37,0.32565445026178
RW,3.3,0.318324607329843
PK,3.25,0.313089005235602
OM,3.12,0.299476439790576
KZ,3.08,0.295287958115183
KH,3.05,0.292146596858639
KM,3.04,0.291099476439791
JO,3.04,0.291099476439791
ZW,3.04,0.291099476439791
AE,3.01,0.287958115183246
TG,2.99,0.28586387434555
EG,2.93,0.279581151832461
IQ,2.88,0.27434554973822
HT,2.81,0.267015706806283
AZ,2.8,0.265968586387435
CG,2.79,0.264921465968586
SZ,2.78,0.263874345549738
BF,2.73,0.258638743455497
DJ,2.7,0.255497382198953
CU,2.65,0.250261780104712
VN,2.62,0.247120418848168
ML,2.58,0.242931937172775
CM,2.56,0.240837696335079
BH,2.52,0.236649214659686
GW,2.45,0.229319371727749
NE,2.37,0.220942408376963
VE,2.31,0.214659685863874
NI,2.26,0.209424083769633
RU,2.22,0.205235602094241
GN,2.21,0.204188481675393
GA,2.18,0.201047120418848
BI,2.13,0.195811518324607
CN,2.12,0.194764397905759
UZ,2.12,0.194764397905759
SA,2.08,0.190575916230367
BY,1.99,0.181151832460733
ER,1.97,0.179057591623037
IR,1.96,0.178010471204188
YE,1.95,0.17696335078534
TJ,1.94,0.175916230366492
GQ,1.92,0.173821989528796
LY,1.78,0.159162303664921
SD,1.76,0.157068062827225
LA,1.71,0.151832460732984
CD,1.68,0.14869109947644
TD,1.67,0.147643979057592
TM,1.66,0.146596858638743
SY,1.43,0.122513089005236
CF,1.18,0.0963350785340314
KP,1.08,0.0858638743455497
MM,0.85,0.0617801047120419
AF,0.26,0
