COUNTRY,GGGR_SCORE,SCORE
IS,0.908,1
FI,0.86,0.898520084566596
NO,0.845,0.866807610993657
NZ,0.841,0.858350951374207
SE,0.822,0.818181818181818
RW,0.811,0.79492600422833
NI,0.81,0.792811839323467
NA,0.807,0.78646934460888
IE,0.804,0.780126849894292
DE,0.801,0.773784355179704
LT,0.799,0.769556025369979
CR,0.796,0.763213530655391
CH,0.795,0.761099365750529
BE,0.793,0.756871035940803
FR,0.791,0.752642706131078
MD,0.788,0.746300211416491
ES,0.788,0.746300211416491
AL,0.787,0.744186046511628
PH,0.783,0.735729386892178
ZA,0.782,0.733615221987315
AT,0.781,0.731501057082453
GB,0.78,0.72938689217759
RS,0.779,0.727272727272727
BI,0.777,0.723044397463002
CA,0.772,0.712473572938689
LV,0.771,0.710359408033827
US,0.769,0.706131078224102
NL,0.767,0.701902748414376
PT,0.766,0.699788583509514
BB,0.765,0.697674418604651
DK,0.764,0.695560253699789
MX,0.764,0.695560253699789
AR,0.756,0.678646934460888
GY,0.752,0.670190274841438
MZ,0.752,0.670190274841438
BY,0.75,0.665961945031713
JM,0.749,0.66384778012685
PE,0.749,0.66384778012685
SI,0.744,0.653276955602537
EC,0.743,0.651162790697674
PA,0.743,0.651162790697674
BG,0.74,0.644820295983087
AU,0.738,0.640591966173361
SR,0.737,0.638477801268499
CV,0.736,0.636363636363636
CL,0.736,0.636363636363636
LU,0.736,0.636363636363636
MG,0.735,0.634249471458774
BO,0.734,0.632135306553911
SG,0.734,0.632135306553911
ZW,0.734,0.632135306553911
EE,0.733,0.630021141649049
LA,0.733,0.630021141649049
ME,0.732,0.627906976744186
GE,0.731,0.625792811839323
TL,0.73,0.623678646934461
KE,0.729,0.621564482029598
SZ,0.728,0.619450317124736
SV,0.727,0.617336152219873
IL,0.727,0.617336152219873
UG,0.724,0.610993657505285
ZM,0.723,0.608879492600423
IT,0.72,0.602536997885835
BW,0.719,0.600422832980972
KZ,0.719,0.600422832980972
TZ,0.719,0.600422832980972
SK,0.717,0.596194503171247
MK,0.716,0.594080338266385
AE,0.716,0.594080338266385
MN,0.715,0.591966173361522
BD,0.714,0.58985200845666
UY,0.711,0.583509513742072
BA,0.71,0.581395348837209
CO,0.71,0.581395348837209
CZ,0.71,0.581395348837209
ET,0.71,0.581395348837209
LR,0.709,0.579281183932347
PL,0.709,0.579281183932347
TH,0.709,0.579281183932347
PY,0.707,0.575052854122621
UA,0.707,0.575052854122621
HN,0.705,0.570824524312896
VN,0.705,0.570824524312896
DO,0.703,0.566596194503171
MT,0.703,0.566596194503171
KG,0.7,0.560253699788583
LS,0.7,0.560253699788583
HU,0.699,0.558139534883721
AM,0.698,0.556025369978858
RO,0.698,0.556025369978858
ID,0.697,0.553911205073996
TG,0.697,0.553911205073996
BR,0.696,0.551797040169133
CY,0.696,0.551797040169133
BZ,0.695,0.549682875264271
CM,0.692,0.543340380549683
NP,0.692,0.543340380549683
KH,0.69,0.539112050739958
GR,0.689,0.536997885835095
KR,0.689,0.536997885835095
AZ,0.687,0.53276955602537
CN,0.682,0.522198731501057
MY,0.681,0.520084566596195
BN,0.68,0.517970401691332
MU,0.679,0.515856236786469
MM,0.677,0.511627906976744
FJ,0.676,0.509513742071882
GH,0.672,0.501057082452431
SL,0.672,0.501057082452431
LK,0.67,0.496828752642706
VU,0.67,0.496828752642706
SN,0.668,0.492600422832981
GT,0.664,0.484143763213531
TJ,0.663,0.482029598308668
BF,0.659,0.473572938689218
JP,0.65,0.454545454545455
MV,0.648,0.450317124735729
GN,0.647,0.448202959830867
LB,0.644,0.441860465116279
TN,0.643,0.439746300211417
GM,0.641,0.435517970401691
JO,0.639,0.431289640591966
NG,0.639,0.431289640591966
TR,0.639,0.431289640591966
AO,0.638,0.429175475687104
BT,0.637,0.427061310782241
SA,0.636,0.424947145877378
EG,0.635,0.422832980972516
NE,0.635,0.422832980972516
BH,0.632,0.416490486257928
CI,0.632,0.416490486257928
KW,0.632,0.416490486257928
MW,0.632,0.416490486257928
KM,0.631,0.414376321353066
IN,0.629,0.41014799154334
MA,0.624,0.399577167019027
QA,0.617,0.384778012684989
BJ,0.612,0.374207188160677
OM,0.609,0.367864693446089
DZ,0.602,0.353065539112051
ML,0.601,0.350951374207188
TD,0.579,0.304439746300211
IR,0.576,0.298097251585624
CD,0.575,0.295983086680761
PK,0.564,0.272727272727273
AF,0.435,0
