COUNTRY,GPI_SCORE,SCORE
IS,1.112,1
IE,1.303,0.916411378555799
AT,1.313,0.912035010940919
NZ,1.323,0.907658643326039
SG,1.339,0.900656455142232
CH,1.35,0.895842450765864
PT,1.372,0.886214442013129
DK,1.382,0.88183807439825
SI,1.395,0.876148796498906
MY,1.427,0.862144420131291
CA,1.449,0.852516411378556
CZ,1.459,0.848140043763676
FI,1.474,0.841575492341357
HU,1.502,0.829321663019694
HR,1.504,0.828446389496718
BE,1.51,0.82582056892779
JP,1.525,0.819256017505471
NL,1.527,0.818380743982495
AU,1.536,0.814442013129103
DE,1.542,0.811816192560175
BT,1.564,0.80218818380744
MU,1.577,0.796498905908096
ES,1.597,0.787746170678337
EE,1.615,0.779868708971554
KW,1.622,0.776805251641138
BG,1.629,0.773741794310722
SK,1.634,0.771553610503282
NO,1.638,0.769803063457331
QA,1.656,0.761925601750547
LV,1.661,0.759737417943107
LT,1.672,0.75492341356674
PL,1.678,0.752297592997812
IT,1.692,0.74617067833698
GB,1.703,0.741356673960613
ME,1.746,0.72253829321663
RO,1.755,0.718599562363239
OM,1.761,0.715973741794311
MK,1.764,0.714660831509847
SE,1.782,0.706783369803063
GR,1.793,0.701969365426696
VN,1.802,0.698030634573304
AL,1.809,0.694967177242889
TW,1.818,0.691028446389497
MG,1.838,0.682275711159737
MN,1.845,0.679212253829322
KR,1.848,0.677899343544858
AR,1.855,0.674835886214442
ID,1.857,0.673960612691466
LA,1.861,0.672210065645514
BW,1.863,0.671334792122538
TL,1.882,0.663019693654267
UY,1.893,0.658205689277899
AE,1.897,0.656455142231948
RS,1.93,0.642013129102845
GH,1.938,0.638512035010941
XK,1.945,0.635448577680525
ZM,1.948,0.634135667396061
CR,1.95,0.633260393873085
KZ,1.954,0.631509846827134
UZ,1.957,0.63019693654267
BA,1.961,0.628446389496718
NA,1.972,0.62363238512035
MD,1.976,0.621881838074398
CL,1.978,0.621006564551422
TZ,1.987,0.617067833698031
SL,1.993,0.614442013129103
JO,1.998,0.612253829321663
BO,2.009,0.607439824945296
LR,2.025,0.600437636761488
KH,2.028,0.599124726477024
TJ,2.035,0.596061269146608
AO,2.043,0.592560175054705
PY,2.044,0.592122538293217
TN,2.044,0.592122538293217
TH,2.048,0.590371991247265
AM,2.052,0.588621444201313
KG,2.053,0.588183807439825
MA,2.054,0.587746170678337
MW,2.063,0.583807439824945
NP,2.069,0.581181619256018
BH,2.072,0.579868708971554
GM,2.079,0.576805251641138
TM,2.079,0.576805251641138
SN,2.084,0.574617067833698
GW,2.085,0.57417943107221
FR,2.088,0.572866520787746
TT,2.092,0.571115973741794
CN,2.101,0.567177242888403
CY,2.101,0.567177242888403
DZ,2.11,0.563238512035011
JM,2.119,0.559299781181619
RW,2.12,0.558862144420131
BD,2.126,0.556236323851204
GQ,2.132,0.553610503282276
MR,2.136,0.551859956236324
PA,2.14,0.550109409190372
DO,2.157,0.542669584245077
CU,2.16,0.541356673960613
PE,2.179,0.533041575492341
GE,2.195,0.526039387308534
LK,2.195,0.526039387308534
SA,2.206,0.521225382932166
SZ,2.209,0.519912472647702
PH,2.21,0.519474835886215
EG,2.212,0.518599562363239
AZ,2.248,0.502844638949672
SV,2.25,0.501969365426696
MZ,2.25,0.501969365426696
CI,2.255,0.499781181619256
CG,2.261,0.497155361050328
GY,2.286,0.486214442013129
BY,2.291,0.484026258205689
NI,2.295,0.482275711159737
BJ,2.306,0.47746170678337
PG,2.315,0.473522975929978
IN,2.319,0.471772428884026
GT,2.332,0.466083150984683
GA,2.372,0.448577680525164
DJ,2.374,0.447702407002188
TG,2.381,0.444638949671773
ZW,2.396,0.438074398249453
KE,2.409,0.432385120350109
HN,2.415,0.429759299781182
GN,2.423,0.426258205689278
LS,2.461,0.409628008752735
UG,2.477,0.402625820568928
ZA,2.507,0.389496717724289
LY,2.528,0.380306345733042
BI,2.567,0.363238512035011
EC,2.572,0.361050328227571
BR,2.589,0.353610503282276
US,2.622,0.339168490153173
IR,2.682,0.312910284463895
LB,2.693,0.308096280087527
TD,2.704,0.30328227571116
ER,2.748,0.284026258205689
CM,2.773,0.27308533916849
MX,2.778,0.27089715536105
TR,2.78,0.270021881838074
PK,2.783,0.268708971553611
NE,2.792,0.264770240700219
VE,2.821,0.252078774617068
HT,2.827,0.24945295404814
ET,2.845,0.241575492341357
PS,2.872,0.229759299781182
CO,2.887,0.223194748358862
NG,2.907,0.214442013129103
MM,2.943,0.198687089715536
BF,2.969,0.187308533916849
CF,3.009,0.16980306345733
IQ,3.045,0.154048140043764
KP,3.055,0.149671772428884
SO,3.091,0.133916849015317
ML,3.095,0.132166301969365
IL,3.115,0.123413566739606
SY,3.173,0.0980306345733041
RU,3.249,0.0647702407002187
CD,3.264,0.0582056892778994
UA,3.28,0.0512035010940919
AF,3.294,0.0450765864332603
SS,3.324,0.0319474835886214
SD,3.327,0.0306345733041575
YE,3.397,0
