COUNTRY,GTI_SCORE,SCORE
AL,0,1
AZ,0,1
BG,0,1
BA,0,1
BY,0,1
BO,0,1
BT,0,1
BW,0,1
CG,0,1
CR,0,1
CU,0,1
CZ,0,1
DK,0,1
DO,0,1
ER,0,1
EE,0,1
FI,0,1
GA,0,1
GE,0,1
GH,0,1
GT,0,1
GN,0,1
GW,0,1
GY,0,1
HT,0,1
HN,0,1
HU,0,1
JM,0,1
KZ,0,1
KW,0,1
KG,0,1
LA,0,1
LV,0,1
LS,0,1
LR,0,1
MG,0,1
MU,0,1
MD,0,1
MN,0,1
ME,0,1
MA,0,1
NA,0,1
NI,0,1
KP,0,1
OM,0,1
PA,0,1
PG,0,1
PL,0,1
PT,0,1
QA,0,1
RO,0,1
SN,0,1
RS,0,1
SL,0,1
SI,0,1
ZA,0,1
KR,0,1
SS,0,1
SD,0,1
TW,0,1
GM,0,1
TL,0,1
TT,0,1
TM,0,1
VN,0,1
ZM,0,1
ZW,0,1
IE,0.03,0.99649982499125
LT,0.059,0.993116322482791
RW,0.114,0.986699334966748
UY,0.114,0.986699334966748
BH,0.123,0.985649282464123
EC,0.167,0.980515692451289
SZ,0.18,0.978998949947497
MY,0.192,0.977598879943997
AE,0.233,0.972815307432038
IS,0.233,0.972815307432038
PY,0.241,0.971881927429705
AM,0.423,0.950647532376619
UZ,0.423,0.950647532376619
JO,0.455,0.946914012367285
NL,0.577,0.9326799673317
CN,0.582,0.932096604830242
CY,0.616,0.928129739820324
CH,0.627,0.926846342317116
SE,0.735,0.914245712285614
TJ,0.871,0.898378252245946
AT,0.953,0.888811107222028
MX,1.04,0.878660599696651
SK,1.092,0.872593629681484
VE,1.174,0.863026484657566
JP,1.189,0.861276397153191
XK,1.218,0.857892894644732
ET,1.272,0.851592579628981
AR,1.274,0.851359234628398
SA,1.366,0.840625364601564
CF,1.445,0.831408237078521
IT,1.447,0.831174892077937
AU,1.475,0.82790806206977
LB,1.562,0.817757554544394
ES,1.669,0.805273597013184
UA,1.686,0.803290164508225
NO,1.747,0.796173141990433
CA,1.753,0.795473106988683
BE,1.904,0.777855559444639
NZ,1.947,0.772838641932097
BR,1.988,0.768055069420138
DJ,2.035,0.762571461906429
PE,2.045,0.761404736903512
CI,2.06,0.759654649399137
NP,2.163,0.747637381869094
DZ,2.197,0.743670516859176
AO,2.254,0.737020184342551
TZ,2.267,0.735503441838759
GB,2.373,0.72313615680784
BI,2.434,0.716019134290048
LY,2.469,0.711935596779839
FR,2.647,0.69116789172792
DE,2.782,0.675417104188543
TN,2.914,0.660016334150041
RU,3.016,0.648115739120289
GR,3.028,0.646715669116789
LK,3.072,0.641582079103955
BD,3.317,0.612997316532493
ID,3.993,0.534126706335317
US,4.161,0.514525726286314
TR,4.168,0.513709018784273
TH,4.219,0.507758721269397
UG,4.377,0.489324466223311
IR,4.464,0.479173958697935
TG,4.67,0.455139423637849
BJ,4.898,0.428538093571345
YE,4.951,0.422354451055886
PS,4.966,0.420604363551511
TD,4.987,0.418154241045386
EG,5.221,0.390852875977132
PH,5.383,0.37195193092988
KE,5.616,0.344767238361918
CL,5.679,0.337416870843542
CO,6.188,0.278030568195076
MZ,6.267,0.268813440672034
IN,6.324,0.262163108155408
CD,6.514,0.239995333099988
CM,6.98,0.185625947964065
IQ,7.078,0.17419204293548
NE,7.274,0.151324232878311
MM,7.536,0.12075603780189
NG,7.575,0.116205810290514
SO,7.814,0.0883210827208027
AF,7.825,0.0870376852175942
SY,7.89,0.0794539726986349
PK,7.916,0.0764204876910511
ML,7.998,0.0668533426671333
IL,8.143,0.0499358301248395
BF,8.571,0
