COUNTRY,SPI_SCORE,SCORE
NO,90.74,1
DK,90.54,0.9966716591779
FI,90.46,0.99534032284906
CH,90.26,0.99201198202696
IS,89.54,0.980029955067399
SE,89.42,0.978032950574139
NL,88.97,0.970544183724413
DE,88.72,0.966383757696788
JP,88.19,0.957563654518223
CA,88.17,0.957230820436013
AT,88.05,0.955233815942753
AU,87.83,0.951572641038442
IE,87.69,0.949242802462972
LU,87.48,0.945748044599767
NZ,87.26,0.942086869695457
BE,87.22,0.941421201531037
KR,86.47,0.928939923448161
EE,86.16,0.923780995173906
GB,86.13,0.923281744050591
FR,86.07,0.922283241803961
ES,85.35,0.9103012148444
IT,85.23,0.90830421035114
CZ,85.19,0.90763854218672
PT,84.75,0.9003161923781
US,84.65,0.89865202196705
MT,84.52,0.896488600432684
SI,84.19,0.890996838076219
SG,83.76,0.883840905308704
LT,83.71,0.883008820103179
CY,83.18,0.874188716924613
IL,83.17,0.874022299883508
LV,82.46,0.862206689965052
GR,82.44,0.861873855882843
HR,82.32,0.859876851389582
SK,81.29,0.842735896155767
CL,80.78,0.834248627059411
CR,80.65,0.832085205525046
UY,80.27,0.825761357963055
PL,80.17,0.824097187552006
BB,79.6,0.81461141620902
AR,78.64,0.798635380262939
HU,78.21,0.791479447495424
RO,76.89,0.769512398069562
BG,76.81,0.768181061740722
RS,75.8,0.751372940589116
TT,75.58,0.747711765684806
MU,75.44,0.745381927109336
AM,74.78,0.734398402396406
ME,74.64,0.732068563820935
GE,74.43,0.72857380595773
MD,74.19,0.72457979697121
UA,74.17,0.724246962889
AL,74.12,0.723414877683475
MY,74.08,0.722749209519055
KW,74.06,0.722416375436845
PA,74.02,0.721750707272425
JM,73.48,0.712764187052754
MK,72.74,0.700449326010984
RU,71.99,0.687968047928108
EC,71.75,0.683974038941588
BY,71.49,0.679647195872857
BR,71.26,0.675819603927442
BA,71.23,0.675320352804127
SR,71.22,0.675153935763022
KZ,71.21,0.674987518721917
MX,70.84,0.668830088201032
PE,70.7,0.666500249625562
AE,70.7,0.666500249625562
ZA,69.95,0.654018971542686
CO,69.83,0.652021967049426
TH,69.8,0.651522715926111
TN,69.77,0.651023464802796
DO,69.76,0.650857047761691
LK,69.22,0.64187052754202
CV,69.01,0.638375769678815
PY,68.96,0.63754368447329
VN,68.18,0.6245631552671
BT,68.05,0.622399733732734
MV,68.02,0.621900482609419
OM,67.7,0.616575137294059
PH,67.46,0.612581128307539
JO,67.32,0.610251289732069
KG,67.23,0.608753536362124
MN,67.21,0.608420702279913
BO,67.15,0.607422200033284
FJ,67.02,0.605258778498918
ID,66.67,0.599434182060243
TR,66.59,0.598102845731403
LB,66.48,0.596272258279248
QA,66.47,0.596105841238143
UZ,66.12,0.590281244799468
BH,66.09,0.589781993676153
BW,65.89,0.586453652854052
CN,65.74,0.583957397237477
DZ,65.59,0.581461141620902
GY,65.54,0.580629056415377
PS,65.19,0.574804459976702
GH,64.8,0.568314195373606
SV,64.42,0.561990347811616
MA,64.04,0.555666500249626
SA,63.89,0.553170244633051
IR,63.72,0.550341154934265
AZ,63.26,0.542685971043435
ST,62.49,0.529871858878349
GA,62.18,0.524712930604094
NA,62,0.521717423864204
HN,61.17,0.507904809452488
NI,60.23,0.492261607588617
GT,60.21,0.491928773506407
IN,60.19,0.491595939424197
NP,59.39,0.478282576135796
TL,58.92,0.470460975203861
EG,58.73,0.467299051422866
VE,58.62,0.465468463970711
KE,57.96,0.45448493925778
SN,57.7,0.45015809618905
IQ,56.82,0.435513396571809
TM,56.75,0.434348477284074
BD,56.06,0.422865701447828
TJ,56.05,0.422699284406723
KH,55.71,0.417041105009153
BJ,55.59,0.415044100515893
TZ,54.87,0.403062073556332
GM,54.68,0.399900149775337
MW,54.29,0.393409885172242
LY,54.28,0.393243468131137
CI,54.01,0.388750208021301
NG,52.97,0.371442835746381
LS,52.9,0.370277916458645
SB,52.4,0.361957064403395
RW,52.18,0.358295889499085
ZW,52.17,0.35812947245798
KM,52.11,0.35713097021135
ZM,52.07,0.35646530204693
SY,51.98,0.354967548676985
TG,51.58,0.348310867032784
MM,51.46,0.346313862539524
CM,51.4,0.345315360292894
PK,51.32,0.343984023964054
LA,51.17,0.341487768347479
SL,50.48,0.330004992511233
BF,49.83,0.319187884839408
DJ,49.39,0.311865535030787
UG,49.34,0.311033449825262
SZ,49.19,0.308537194208687
LR,49.03,0.305874521551007
MZ,48.27,0.293226826427026
PG,48.12,0.290730570810451
CG,47.54,0.28107838242636
ET,47.43,0.279247794974205
MG,47.07,0.273256781494425
ML,46.93,0.270926942918955
AO,46.87,0.269928440672325
GW,46.65,0.266267265768015
MR,46.6,0.26543518056249
GQ,46.58,0.26510234648028
HT,45.42,0.245797969712099
SD,45.41,0.245631552670993
NE,43.14,0.207854884340156
BI,42.91,0.204027292394741
CD,42.7,0.200532534531536
GN,42.41,0.195706440339491
YE,39.08,0.140289565651523
AF,37.34,0.111333000499251
SO,35.85,0.0865368613746048
ER,34.85,0.0698951572641039
TD,34.69,0.0672324846064237
CF,32.39,0.0289565651522716
SS,30.65,0
