COUNTRY,WHR_SCORE,SCORE
FI,7.74069976806641,1
DK,7.5826997756958,0.973752845273558
IS,7.52510023117065,0.964184337486684
SE,7.34409999847412,0.93411635430625
IL,7.34110021591187,0.933618026705876
NL,7.3193998336792,0.930013132290769
NO,7.30170011520386,0.927072833101722
LU,7.12190008163452,0.897204228489106
CH,7.06020021438599,0.886954570005107
AU,7.05690002441406,0.886406338353193
NZ,7.02920007705689,0.881804788737337
CR,6.95539999008179,0.869545026742433
KW,6.95139980316162,0.868880510729153
AT,6.90469980239868,0.861122648672586
CA,6.8996000289917,0.860275467988115
BE,6.89419984817505,0.859378383252105
IE,6.83799982070923,0.850042364975182
CZ,6.82180023193359,0.847351269192712
LT,6.81750011444092,0.846636928340673
GB,6.74900007247925,0.835257616397933
SI,6.74329996109009,0.834310706823163
AE,6.73309993743897,0.832616266241442
US,6.72480010986328,0.831237488588904
DE,6.7185001373291,0.830190929336616
MX,6.67799997329712,0.82346299184849
UY,6.61149978637695,0.812415898305999
FR,6.60900020599365,0.812000664912077
SA,6.5935001373291,0.809425774278192
XK,6.56099987030029,0.804026789603845
SG,6.52279996871948,0.797680974567509
TW,6.50349998474121,0.794474837288038
RO,6.49119997024536,0.792431543622221
SV,6.46869993209839,0.788693809374682
EE,6.44770002365112,0.785205278533721
PL,6.44150018692017,0.784175353965279
ES,6.42089986801148,0.780753203434143
RS,6.41079998016357,0.779075397536269
CL,6.36030006408691,0.770686288834115
PA,6.35820007324219,0.770337435750019
MT,6.34579992294312,0.768277507400355
IT,6.32350015640259,0.76457304252051
GT,6.28700017929077,0.758509621045663
NI,6.28389978408814,0.757994579548662
BR,6.27199983596802,0.756017745405451
SK,6.25710010528564,0.753542583661865
LV,6.23449993133545,0.74978821473048
UZ,6.19500017166138,0.743226465655259
AR,6.18809986114502,0.742080177512672
KZ,6.1875,0.741980527835153
CY,6.06809997558594,0.722145647667653
JP,6.05980014801025,0.720766870015115
KR,6.05789995193481,0.720451207085932
PH,6.04759979248047,0.718740131820364
VN,6.04300022125244,0.717976045342346
PT,6.02960014343262,0.715750007792557
HU,6.01690006256104,0.713640254604134
PY,5.97650003433228,0.706928951799855
TH,5.97609996795654,0.706862492277249
MY,5.97520017623901,0.706713017760971
CN,5.97270011901856,0.706297705154269
HN,5.96840000152588,0.70558336430223
BH,5.95909976959229,0.704038398236787
HR,5.94229984283447,0.701247573564018
GR,5.93359994888306,0.699802336388874
BA,5.8769998550415,0.690399858589345
LY,5.86630010604858,0.688622403013951
JM,5.84170007705689,0.684535815682317
PE,5.84089994430542,0.684402896637105
DO,5.82280015945435,0.681396137925451
MU,5.81640005111694,0.680332943989316
MD,5.81589984893799,0.680249849782864
RU,5.78529977798462,0.6751665280377
BO,5.78429985046387,0.675000418837575
EC,5.72450017929077,0.665066423282759
KG,5.71350002288818,0.663239063655826
ME,5.70699977874756,0.662159235035844
MN,5.69619989395142,0.660365144776604
CO,5.69509983062744,0.660182400892633
VE,5.60669994354248,0.645497301992903
ID,5.56829977035523,0.639118217588873
BG,5.46269989013672,0.621575834493768
AM,5.45489978790283,0.620280071834902
ZA,5.42199993133545,0.614814706850729
MK,5.36910009384155,0.60602692022572
DZ,5.36350011825562,0.605096645334797
HK,5.31640005111694,0.597272323755624
AL,5.30420017242432,0.595245664773653
TJ,5.28070020675659,0.591341821325989
CG,5.22149991989136,0.581507396235912
MZ,5.21640014648438,0.580660215551441
GE,5.18470001220703,0.575394149922306
IQ,5.16599988937378,0.572287662320354
NP,5.15840005874634,0.571025169029181
LA,5.13889980316162,0.567785762382017
GA,5.10629987716675,0.562370222236604
CI,5.08010005950928,0.558017876027325
GN,5.02330017089844,0.548582208072883
TR,4.97529983520508,0.540608332764652
SN,4.96859979629517,0.539495313989757
IR,4.92280006408691,0.531887005662248
AZ,4.89340019226074,0.527003062484903
NG,4.88079977035523,0.524909864767546
PS,4.87949991226196,0.524693930728661
CM,4.87440013885498,0.523846750044191
UA,4.8730001449585,0.52361418132146
NA,4.83169984817505,0.516753324788123
MA,4.79470014572144,0.510606888319604
PK,4.65670013427734,0.487682155233998
NE,4.55630016326904,0.47100358750721
BF,4.5479998588562,0.469624730641892
MR,4.50509977340698,0.462498115230911
GM,4.48489999771118,0.459142503435161
TD,4.47130012512207,0.45688327573046
KE,4.46960020065308,0.45660088216897
TN,4.42180013656616,0.448660276228431
BJ,4.37739992141724,0.441284457410872
UG,4.37169981002808,0.440337547836103
MM,4.35449981689453,0.437480263640728
KH,4.34070014953613,0.435187845781113
GH,4.28940010070801,0.426665818033748
LR,4.26859998703003,0.423210477347699
ML,4.23199987411499,0.417130421189007
MG,4.22790002822876,0.416449349704661
TG,4.2140998840332,0.414156852632266
JO,4.18580007553101,0.409455653338892
IN,4.05410003662109,0.387577479505574
EG,3.97659993171692,0.37470306594254
LK,3.89809989929199,0.361662543179382
BD,3.88590002059937,0.359635884197411
ET,3.86089992523193,0.35548283734317
TZ,3.78060007095337,0.342143325941065
KM,3.56629991531372,0.306543518253853
YE,3.56100010871887,0.305663107808079
ZM,3.50239992141724,0.29592837200191
SZ,3.50200009346008,0.295861952085694
MW,3.4210000038147,0.282406116715833
BW,3.38339996337891,0.276159951357016
ZW,3.34109997749329,0.269133025229944
CD,3.2953999042511,0.261541272373501
SL,3.24519991874695,0.253201988510107
LS,3.18619990348816,0.243400832787722
LB,2.70650005340576,0.163712498640016
AF,1.72099995613098,0
